origin,destination,number_of_passengers
"Las Vegas, NV","Wichita, KS",220.5
"Las Vegas, NV","Richmond, VA",181.5
"Las Vegas, NV","Indianapolis, IN",804.75
"Las Vegas, NV","Kansas City, MO",823.25
"San Francisco, CA (Metropolitan Area)","Pittsburgh, PA",640.3333333333334
"San Francisco, CA (Metropolitan Area)","Albany, NY",233.0
"San Francisco, CA (Metropolitan Area)","Hartford, CT",303.0
"San Francisco, CA (Metropolitan Area)","El Paso, TX",227.0
"San Francisco, CA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",657.3333333333334
"San Francisco, CA (Metropolitan Area)","Nashville, TN",831.0
"San Francisco, CA (Metropolitan Area)","Boise, ID",604.4
"San Francisco, CA (Metropolitan Area)","Buffalo, NY",261.3333333333333
"San Francisco, CA (Metropolitan Area)","Charleston, SC",212.0
"San Francisco, CA (Metropolitan Area)","Columbus, OH",476.75
"San Francisco, CA (Metropolitan Area)","Jacksonville, FL",232.25
"San Francisco, CA (Metropolitan Area)","Grand Rapids, MI",200.0
"San Francisco, CA (Metropolitan Area)","Indianapolis, IN",770.0
"San Francisco, CA (Metropolitan Area)","St. Louis, MO",758.75
"San Francisco, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",642.5
"San Francisco, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",4257.0
"San Francisco, CA (Metropolitan Area)","Tucson, AZ",499.0
"San Francisco, CA (Metropolitan Area)","Seattle, WA",7492.75
"San Francisco, CA (Metropolitan Area)","Spokane, WA",477.42857142857144
"San Francisco, CA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",23076.0
"San Francisco, CA (Metropolitan Area)","Louisville, KY",199.0
"San Francisco, CA (Metropolitan Area)","Kansas City, MO",710.75
"San Francisco, CA (Metropolitan Area)","San Antonio, TX",555.0
"San Francisco, CA (Metropolitan Area)","Memphis, TN",191.0
"San Francisco, CA (Metropolitan Area)","Omaha, NE",366.25
"San Francisco, CA (Metropolitan Area)","Milwaukee, WI",370.75
"San Francisco, CA (Metropolitan Area)","New Orleans, LA",984.5
"San Francisco, CA (Metropolitan Area)","San Diego, CA",7390.2
"San Francisco, CA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",207.66666666666666
"San Francisco, CA (Metropolitan Area)","Oklahoma City, OK",224.57142857142858
"San Francisco, CA (Metropolitan Area)","Portland, OR",4382.0
"San Francisco, CA (Metropolitan Area)","Reno, NV",508.2
"San Francisco, CA (Metropolitan Area)","Atlanta, GA (Metropolitan Area)",2258.3333333333335
"San Francisco, CA (Metropolitan Area)","Charlotte, NC",763.0
"San Francisco, CA (Metropolitan Area)","Detroit, MI",939.0
"San Francisco, CA (Metropolitan Area)","Salt Lake City, UT",2312.0
"Los Angeles, CA (Metropolitan Area)","Albany, NY",207.5
"Los Angeles, CA (Metropolitan Area)","Hartford, CT",498.0
"Los Angeles, CA (Metropolitan Area)","Birmingham, AL",248.75
"Los Angeles, CA (Metropolitan Area)","El Paso, TX",636.25
"Los Angeles, CA (Metropolitan Area)","Boise, ID",734.1666666666666
"Los Angeles, CA (Metropolitan Area)","Charleston, SC",253.5
"Los Angeles, CA (Metropolitan Area)","Columbus, OH",706.0
"Los Angeles, CA (Metropolitan Area)","Jacksonville, FL",338.5
"Los Angeles, CA (Metropolitan Area)","Grand Rapids, MI",257.25
"Los Angeles, CA (Metropolitan Area)","Indianapolis, IN",921.0
"Los Angeles, CA (Metropolitan Area)","Pittsburgh, PA",788.5
"Los Angeles, CA (Metropolitan Area)","Nashville, TN",1441.75
"Los Angeles, CA (Metropolitan Area)","St. Louis, MO",1125.75
"Los Angeles, CA (Metropolitan Area)","Louisville, KY",298.75
"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",6289.25
"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",967.3333333333334
"Los Angeles, CA (Metropolitan Area)","San Antonio, TX",1120.75
"Los Angeles, CA (Metropolitan Area)","Omaha, NE",533.5
"Los Angeles, CA (Metropolitan Area)","Milwaukee, WI",580.0
